period_id, item, qty, order_qty1, order_qty2, order_qty3
1230,item1523,0.0,0.0,0.0,0.0
1231,item1523,0.0,0.0,0.0,0.0
1232,item1523,0.6849,0.6526,0.2134,0.0
1233,item1523,0.5931,0.4144,0.0,0.0
1234,item1523,0.6005,0.5261,0.4342,0.0
1235,item1523,0.7916,0.6774,0.0,0.0
1236,item1523,0.2506,0.1017,0.0,0.0
1237,item1523,0.531,0.5161,0.0,0.0
1238,item1523,0.9529,0.8263,0.0124,0.0
1239,item1523,0.5682,0.0223,0.0,0.0
1240,item1523,0.7097,0.3524,0.0,0.0
1241,item1523,0.8263,0.5806,0.0,0.0
1242,item1523,0.4218,0.3722,0.0,0.0
1243,item1523,0.5558,0.2233,0.0,0.0
1244,item1523,0.2333,0.1166,0.0,0.0
1245,item1523,0.2581,0.201,0.0,0.0
1246,item1523,0.464,0.464,0.0223,0.0
1247,item1523,0.7022,0.4715,0.0074,0.0
1248,item1523,0.5136,0.2779,0.0,0.0
1249,item1523,0.4541,0.2705,0.0099,0.0
1250,item1523,0.2258,0.2258,0.0,0.0
1251,item1523,0.1092,0.0868,0.0,0.0
1252,item1523,0.4367,0.3797,0.0099,0.0
1253,item1523,0.4516,0.3772,0.0,0.0
1254,item1523,0.2035,0.1464,0.0372,0.0
1255,item1523,0.7146,0.6948,0.1489,0.0
1256,item1523,0.5906,0.4342,0.1489,0.0471
1257,item1523,0.5161,0.4764,0.0521,0.2605
1258,item1523,0.536,0.536,0.4218,0.0
1259,item1523,1.0,1.0,0.0496,0.0
