period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item2164,0.0,0.0,0.0,0.0
1214,item2164,0.0,0.0,0.0,0.0
1215,item2164,0.0578,0.0,0.0,0.0
1216,item2164,0.0108,0.0,0.0,0.0
1217,item2164,0.0,0.0,0.0,0.0
1218,item2164,0.4188,0.13,0.0,0.0
1219,item2164,1.0,0.9206,0.1264,0.0
1220,item2164,0.3935,0.2563,0.0,0.0
1221,item2164,0.0,0.0,0.0,0.0
1222,item2164,0.0866,0.0686,0.0,0.0
1223,item2164,0.0,0.0,0.0794,0.0253
1224,item2164,0.3827,0.0939,0.0253,0.0
1225,item2164,0.3718,0.3321,0.0,0.0
1226,item2164,0.0144,0.0108,0.0,0.0
1227,item2164,0.1516,0.0939,0.0,0.0
1228,item2164,0.0361,0.0072,0.2022,0.0505
1229,item2164,0.2671,0.2094,0.0505,0.0
1230,item2164,0.4477,0.2599,0.1516,0.0505
1231,item2164,0.213,0.1841,0.0542,0.0
1232,item2164,0.3069,0.0578,0.0,0.0
1233,item2164,0.2852,0.2347,0.0,0.0
1234,item2164,0.4224,0.4224,0.0,0.0
1235,item2164,0.0794,0.0,0.0,0.0
1236,item2164,0.0578,0.0289,0.0,0.0
1237,item2164,0.0361,0.0217,0.1733,0.0
1238,item2164,0.1805,0.1805,0.0,0.0
1239,item2164,0.0,0.0,0.0,0.0
1240,item2164,0.0,0.0,0.0,0.0
1241,item2164,0.0794,0.0794,0.0,0.0
1242,item2164,0.0433,0.0144,0.0,0.0
1243,item2164,0.1444,0.1011,0.0,0.0
1244,item2164,0.1733,0.0289,0.0,0.0
1245,item2164,0.2491,0.0181,0.0,0.0
1246,item2164,0.0108,0.0108,0.0,0.0
1247,item2164,0.1805,0.0,0.0,0.0
1248,item2164,0.1372,0.065,0.0,0.0
1249,item2164,0.3971,0.3718,0.0,0.0
1250,item2164,0.1336,0.1336,0.0,0.0
1251,item2164,0.1336,0.0758,0.0,0.0
1252,item2164,0.0036,0.0,0.0,0.0
1253,item2164,0.0975,0.0975,0.0,0.0
1254,item2164,0.1516,0.1516,0.0,0.0
1255,item2164,0.3032,0.296,0.0,0.0
1256,item2164,0.1264,0.1083,0.0,0.0
1257,item2164,0.2238,0.0794,0.0072,0.0
1258,item2164,0.1155,0.0939,0.0,0.0
1259,item2164,0.13,0.13,0.0939,0.0
