period_id, item, qty, order_qty1, order_qty2, order_qty3
1245,item1886,0.0,0.0,0.0,0.0
1246,item1886,0.0,0.0,0.0,0.0
1247,item1886,0.0251,0.0,0.0,0.0
1248,item1886,0.2571,0.1444,0.0525,0.0
1249,item1886,0.5322,0.3508,0.0064,0.0109
1250,item1886,0.227,0.1821,0.1079,0.0612
1251,item1886,0.5618,0.3833,0.0612,0.0337
1252,item1886,0.5777,0.3394,0.1386,0.0237
1253,item1886,1.0,0.729,0.156,0.0018
1254,item1886,0.9379,0.6766,0.0128,0.0005
1255,item1886,0.4176,0.2581,0.0208,0.0185
1256,item1886,0.2436,0.1408,0.0443,0.0034
1257,item1886,0.5311,0.3318,0.0314,0.0306
1258,item1886,0.6763,0.2738,0.0669,0.0189
1259,item1886,0.3891,0.3891,0.0273,0.1096
