period_id, item, qty, order_qty1, order_qty2, order_qty3
1231,item1980,0.0,0.0,0.0,0.0
1232,item1980,0.0,0.0,0.0023,0.0
1233,item1980,0.169,0.0023,0.044,0.0
1234,item1980,0.081,0.044,0.0,0.0
1235,item1980,0.066,0.066,0.0,0.0
1236,item1980,0.059,0.0127,0.0,0.0
1237,item1980,0.0012,0.0,0.0,0.0
1238,item1980,0.0093,0.0093,0.0185,0.0
1239,item1980,0.0405,0.0185,0.0,0.0
1240,item1980,0.0995,0.0382,0.0,0.0
1241,item1980,0.1308,0.0544,0.0069,0.0
1242,item1980,0.1458,0.1146,0.0,0.0
1243,item1980,0.103,0.0868,0.0625,0.0833
1244,item1980,0.1157,0.103,0.1597,0.0
1245,item1980,0.4525,0.2697,0.0,0.0
1246,item1980,0.206,0.0856,0.0058,0.0324
1247,item1980,0.6458,0.5775,0.1562,0.0162
1248,item1980,1.0,0.7743,0.0324,0.0
1249,item1980,0.6285,0.5208,0.0104,0.0
1250,item1980,0.2338,0.1794,0.0208,0.0081
1251,item1980,0.3264,0.162,0.066,0.0
1252,item1980,0.2569,0.1227,0.015,0.0
1253,item1980,0.6551,0.4271,0.1065,0.0
1254,item1980,0.6134,0.3171,0.2153,0.0
1255,item1980,0.6053,0.4931,0.0104,0.0069
1256,item1980,0.1725,0.1562,0.0382,0.0116
1257,item1980,0.2604,0.1528,0.0162,0.0521
1258,item1980,0.2801,0.2106,0.0984,0.0023
1259,item1980,0.1782,0.1782,0.147,0.0
