period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item2342,0.0,0.0,0.0,0.0
1214,item2342,0.0,0.0,0.0,0.0
1215,item2342,0.0965,0.0965,0.0,0.0
1216,item2342,0.0252,0.0042,0.0056,0.0
1217,item2342,0.0154,0.0154,0.0,0.0
1218,item2342,0.3133,0.1622,0.0308,0.0
1219,item2342,0.1021,0.0322,0.0,0.0
1220,item2342,0.0042,0.0028,0.0,0.0
1221,item2342,0.0392,0.0336,0.014,0.0
1222,item2342,0.0392,0.014,0.0,0.0
1223,item2342,0.1497,0.1077,0.0,0.0
1224,item2342,0.0839,0.049,0.0,0.0
1225,item2342,0.1161,0.0811,0.0406,0.0392
1226,item2342,0.0587,0.0559,0.0392,0.0
1227,item2342,0.049,0.0476,0.0,0.0
1228,item2342,0.0196,0.0,0.0,0.0
1229,item2342,0.1483,0.0951,0.0,0.0
1230,item2342,0.1049,0.0783,0.0,0.0
1231,item2342,0.0084,0.007,0.0,0.0
1232,item2342,0.0727,0.0643,0.0084,0.0
1233,item2342,0.5455,0.0434,0.0,0.0
1234,item2342,0.1063,0.0867,0.0378,0.0084
1235,item2342,0.0839,0.0573,0.0084,0.0
1236,item2342,0.1301,0.0266,0.0,0.0
1237,item2342,0.1706,0.1343,0.0028,0.0
1238,item2342,0.2601,0.1455,0.0,0.0
1239,item2342,0.4322,0.407,0.0727,0.0
1240,item2342,0.1664,0.0979,0.0,0.1427
1241,item2342,0.1329,0.1217,0.1441,0.0224
1242,item2342,0.2238,0.1874,0.0224,0.0154
1243,item2342,0.1007,0.0601,0.0252,0.3189
1244,item2342,0.1748,0.1105,0.3189,0.0
1245,item2342,0.5287,0.3413,0.0,0.0
1246,item2342,0.3566,0.2587,0.1035,0.035
1247,item2342,0.8392,0.2462,0.035,0.0392
1248,item2342,0.3846,0.249,0.0979,0.0
1249,item2342,0.8559,0.7566,0.1063,0.0
1250,item2342,0.2909,0.1063,0.028,0.0014
1251,item2342,0.1399,0.0615,0.0154,0.0028
1252,item2342,0.1497,0.1301,0.0615,0.0
1253,item2342,0.1846,0.1734,0.0,0.0
1254,item2342,1.0,0.9357,0.0364,0.0224
1255,item2342,0.2406,0.0671,0.0224,0.0042
1256,item2342,0.3818,0.2573,0.035,0.0
1257,item2342,0.786,0.6853,0.0014,0.0
1258,item2342,0.2545,0.1119,0.0,0.0168
1259,item2342,0.0406,0.0406,0.0168,0.0
