period_id, item, qty, order_qty1, order_qty2, order_qty3
1228,item1815,0.0,0.0,0.0,0.0
1229,item1815,0.0,0.0,0.0,0.0
1230,item1815,0.021,0.007,0.0,0.0
1231,item1815,0.007,0.0,0.0,0.0
1232,item1815,0.021,0.014,0.007,0.0
1233,item1815,0.049,0.021,0.014,0.0
1234,item1815,0.1189,0.0839,0.042,0.0
1235,item1815,0.1678,0.0559,0.0,0.007
1236,item1815,0.3916,0.3077,0.007,0.0
1237,item1815,0.1678,0.028,0.0,0.0
1238,item1815,0.021,0.014,0.014,0.0
1239,item1815,0.2238,0.042,0.0,0.0
1240,item1815,0.1259,0.0699,0.0559,0.0
1241,item1815,0.0979,0.0699,0.0,0.0
1242,item1815,1.0,0.6224,0.0,0.007
1243,item1815,0.4126,0.3077,0.007,0.0
1244,item1815,0.2378,0.0699,0.0,0.0
1245,item1815,0.2727,0.1399,0.0,0.007
1246,item1815,0.4336,0.2168,0.021,0.007
1247,item1815,0.3636,0.1818,0.049,0.0
1248,item1815,0.5035,0.3007,0.0,0.0
1249,item1815,0.1329,0.0769,0.014,0.0
1250,item1815,0.2238,0.0979,0.028,0.0
1251,item1815,0.2448,0.0979,0.0,0.0
1252,item1815,0.4406,0.2378,0.0,0.042
1253,item1815,0.5524,0.3007,0.0839,0.0
1254,item1815,0.514,0.2832,0.0,0.0
1255,item1815,0.3636,0.1189,0.0,0.014
1256,item1815,0.3566,0.1888,0.042,0.0
1257,item1815,0.6923,0.5524,0.0,0.0979
1258,item1815,0.3077,0.1888,0.1119,0.0839
1259,item1815,0.3706,0.3706,0.0839,0.0
