period_id, item, qty, order_qty1, order_qty2, order_qty3
1243,item1385,0.0,0.0,0.0,0.0
1244,item1385,0.0,0.0,0.0,0.0
1245,item1385,0.2143,0.0,0.0,0.0
1246,item1385,0.7857,0.5,0.5714,0.0
1247,item1385,0.8571,0.7143,0.0,0.0
1248,item1385,0.5,0.4286,0.0714,0.0
1249,item1385,1.0,1.0,0.0714,0.0
1250,item1385,0.3571,0.1429,0.2857,0.0
1251,item1385,0.3571,0.2857,0.0,0.0
1252,item1385,0.0714,0.0714,0.0714,0.0
1253,item1385,0.1429,0.1429,0.0,0.0
1254,item1385,0.4286,0.4286,0.0,0.0
1255,item1385,0.7143,0.0714,0.0,0.0
1256,item1385,0.2143,0.2143,0.0,0.0
1257,item1385,0.5,0.5,0.0,0.0
1258,item1385,0.6429,0.5714,0.1429,0.0
1259,item1385,0.3571,0.3571,0.0,0.0
