period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1334,0.0601,0.0129,0.0,0.0
1214,item1334,0.2833,0.1588,0.0,0.0
1215,item1334,0.1631,0.0944,0.0,0.0
1216,item1334,0.0815,0.0815,0.0,0.0773
1217,item1334,0.1631,0.1159,0.0773,0.0
1218,item1334,1.0,0.7854,0.0215,0.0
1219,item1334,0.1073,0.0815,0.0258,0.0
1220,item1334,0.2361,0.1416,0.0086,0.0
1221,item1334,0.0944,0.0815,0.0043,0.0
1222,item1334,0.0086,0.0043,0.0386,0.0
1223,item1334,0.0386,0.0386,0.0,0.0
1224,item1334,0.0086,0.0,0.0,0.0
1225,item1334,0.103,0.103,0.0,0.0215
1226,item1334,0.0472,0.0172,0.0258,0.0
1227,item1334,0.0429,0.0258,0.0,0.0
1228,item1334,0.1073,0.0515,0.4378,0.0
1229,item1334,0.5236,0.4378,0.0,0.0
1230,item1334,0.0172,0.0172,0.0086,0.0
1231,item1334,0.0515,0.03,0.0,0.0
1232,item1334,0.1845,0.1631,0.0,0.0
1233,item1334,0.0601,0.0129,0.0386,0.0
1234,item1334,0.1717,0.1245,0.0086,0.0
1235,item1334,0.1545,0.1373,0.0,0.0
1236,item1334,0.4592,0.4506,0.0,0.0
1237,item1334,0.0386,0.0215,0.0172,0.0086
1238,item1334,0.0172,0.0172,0.0129,0.0
1239,item1334,0.0515,0.0258,0.0,0.0
1240,item1334,0.1459,0.0858,0.03,0.0
1241,item1334,0.0386,0.03,0.0,0.0
1242,item1334,0.0858,0.0429,0.0,0.0
1243,item1334,0.0944,0.0858,0.0386,0.0
1244,item1334,0.0386,0.0386,0.0,0.0
1245,item1334,0.0773,0.0,0.0773,0.0
1246,item1334,0.1803,0.1245,0.0,0.0
1247,item1334,0.0644,0.0043,0.0129,0.0043
1248,item1334,0.1245,0.0987,0.0043,0.0
1249,item1334,0.1502,0.0043,0.0,0.0
1250,item1334,0.1717,0.0172,0.0172,0.0
1251,item1334,0.03,0.0172,0.0258,0.0
1252,item1334,0.2103,0.0687,0.0,0.0
1253,item1334,0.2146,0.1459,0.0,0.0
1254,item1334,0.2318,0.1974,0.0,0.0
1255,item1334,0.0043,0.0043,0.0,0.0
1256,item1334,0.0258,0.0086,0.0,0.0
1257,item1334,0.2275,0.0429,0.0,0.0
1258,item1334,0.0472,0.0472,0.0,0.0
1259,item1334,0.0515,0.0515,0.0,0.0
