period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1750,0.0681,0.0431,0.0135,0.0872
1214,item1750,0.1364,0.1186,0.1248,0.0014
1215,item1750,0.2049,0.1548,0.0079,0.0011
1216,item1750,0.0925,0.0503,0.012,0.0011
1217,item1750,0.1443,0.122,0.0327,0.0222
1218,item1750,0.1341,0.1214,0.0254,0.0149
1219,item1750,0.1047,0.0549,0.0217,0.0076
1220,item1750,0.1422,0.0824,0.0358,0.0064
1221,item1750,0.2084,0.1346,0.0129,0.005
1222,item1750,0.0915,0.066,0.0091,0.0002
1223,item1750,0.0572,0.0409,0.0071,0.0096
1224,item1750,0.0841,0.03,0.0119,0.0002
1225,item1750,0.1292,0.1072,0.0211,0.0107
1226,item1750,0.0624,0.0547,0.0153,0.0193
1227,item1750,0.0908,0.0457,0.0248,0.0142
1228,item1750,0.1393,0.1172,0.0879,0.0056
1229,item1750,0.1587,0.1391,0.0172,0.0037
1230,item1750,0.126,0.0733,0.0258,0.0039
1231,item1750,0.2331,0.1682,0.0103,0.0067
1232,item1750,0.1209,0.0659,0.0244,0.0023
1233,item1750,0.1203,0.0873,0.0223,0.0101
1234,item1750,0.1437,0.1056,0.0253,0.0043
1235,item1750,0.1004,0.0668,0.009,0.0
1236,item1750,0.2082,0.1488,0.0243,0.0101
1237,item1750,0.1396,0.1184,0.0141,0.003
1238,item1750,0.0874,0.0704,0.0115,0.007
1239,item1750,0.106,0.0727,0.0231,0.004
1240,item1750,0.105,0.092,0.0117,0.0153
1241,item1750,0.1522,0.1292,0.0339,0.0023
1242,item1750,0.273,0.1392,0.0117,0.0074
1243,item1750,0.1309,0.0778,0.0216,0.065
1244,item1750,0.0802,0.054,0.0846,0.0028
1245,item1750,0.1974,0.1404,0.0086,0.0041
1246,item1750,0.1,0.0721,0.0319,0.0048
1247,item1750,0.1722,0.1275,0.0302,0.0019
1248,item1750,0.2732,0.1071,0.01,0.0025
1249,item1750,0.0681,0.0573,0.0026,0.0043
1250,item1750,0.0311,0.0156,0.0078,0.0014
1251,item1750,0.106,0.0209,0.0023,0.012
1252,item1750,0.0345,0.0157,0.029,0.0038
1253,item1750,0.1035,0.0757,0.0042,0.0004
1254,item1750,0.3605,0.2119,0.0134,0.0134
1255,item1750,0.0624,0.0467,0.0146,0.0045
1256,item1750,0.0795,0.0485,0.0292,0.0036
1257,item1750,0.1332,0.0567,0.0104,0.0147
1258,item1750,1.0,0.9459,0.1528,0.0305
1259,item1750,0.2172,0.2172,0.0561,0.0019
