period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item2026,0.3876,0.3025,0.0009,0.0
1214,item2026,0.1748,0.0981,0.0204,0.025
1215,item2026,0.0907,0.0342,0.025,0.0
1216,item2026,0.2276,0.1637,0.0037,0.0
1217,item2026,0.2627,0.1869,0.0444,0.0074
1218,item2026,0.2109,0.1795,0.0278,0.0046
1219,item2026,0.4089,0.1073,0.012,0.0
1220,item2026,0.3848,0.2109,0.0037,0.0
1221,item2026,0.4699,0.3145,0.0019,0.0
1222,item2026,0.8529,0.4117,0.025,0.0167
1223,item2026,0.1961,0.1295,0.0167,0.0167
1224,item2026,0.691,0.5634,0.0435,0.0
1225,item2026,0.3265,0.1591,0.0019,0.013
1226,item2026,0.3358,0.0823,0.0148,0.0315
1227,item2026,0.4181,0.2775,0.05,0.0093
1228,item2026,0.3062,0.2026,0.0444,0.0
1229,item2026,0.5671,0.1545,0.0,0.0194
1230,item2026,0.3025,0.1869,0.0315,0.0481
1231,item2026,0.2461,0.1702,0.0981,0.0019
1232,item2026,0.5116,0.2794,0.013,0.0056
1233,item2026,0.444,0.3321,0.0148,0.0019
1234,item2026,1.0,0.8908,0.0074,0.0019
1235,item2026,0.6198,0.2007,0.0019,0.0
1236,item2026,0.4986,0.2701,0.0074,0.0019
1237,item2026,0.3959,0.2498,0.0342,0.0019
1238,item2026,0.3654,0.271,0.0093,0.0
1239,item2026,0.3302,0.1832,0.0074,0.0111
1240,item2026,0.222,0.1508,0.0435,0.0222
1241,item2026,0.2747,0.1665,0.0222,0.0019
1242,item2026,0.2202,0.1489,0.0148,0.0046
1243,item2026,0.3358,0.1489,0.1092,0.1489
1244,item2026,0.4246,0.2581,0.2054,0.0046
1245,item2026,0.6004,0.3765,0.025,0.0
1246,item2026,0.2988,0.1702,0.0157,0.0
1247,item2026,0.3959,0.2516,0.0139,0.0056
1248,item2026,0.4773,0.222,0.0093,0.0
1249,item2026,0.3201,0.1665,0.0074,0.0028
1250,item2026,0.0786,0.0712,0.0796,0.0
1251,item2026,0.2618,0.222,0.0037,0.0028
1252,item2026,0.1036,0.0564,0.0074,0.0093
1253,item2026,0.1295,0.0796,0.0093,0.0
1254,item2026,0.3571,0.1203,0.0204,0.0
1255,item2026,0.2997,0.148,0.0,0.0
1256,item2026,0.3608,0.1378,0.0,0.0019
1257,item2026,0.3006,0.1397,0.0167,0.0296
1258,item2026,0.5338,0.4579,0.0481,0.0
1259,item2026,0.0712,0.0712,0.0037,0.0019
