period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1850,0.4644,0.233,0.0,0.0
1214,item1850,0.4304,0.3042,0.0744,0.0615
1215,item1850,0.7654,0.6019,0.0615,0.0
1216,item1850,0.3091,0.1845,0.0,0.0356
1217,item1850,0.377,0.267,0.0583,0.0421
1218,item1850,0.5405,0.3447,0.0518,0.0065
1219,item1850,0.3997,0.3301,0.0065,0.0
1220,item1850,0.5939,0.3657,0.0081,0.0065
1221,item1850,0.5097,0.3528,0.0065,0.0
1222,item1850,0.4547,0.356,0.0227,0.0065
1223,item1850,0.4968,0.4013,0.0243,0.0016
1224,item1850,0.9903,0.822,0.0647,0.0
1225,item1850,0.6748,0.6133,0.0,0.0065
1226,item1850,0.3139,0.2217,0.0275,0.0
1227,item1850,0.4871,0.1667,0.0485,0.0049
1228,item1850,0.5922,0.4547,0.0178,0.0113
1229,item1850,0.2799,0.2104,0.0874,0.0032
1230,item1850,0.5906,0.4466,0.0728,0.0
1231,item1850,0.657,0.4029,0.0081,0.0421
1232,item1850,0.5485,0.4515,0.445,0.0162
1233,item1850,1.0,0.6505,0.1117,0.0243
1234,item1850,0.5275,0.4013,0.4239,0.0356
1235,item1850,0.8722,0.6408,0.055,0.0
1236,item1850,0.4385,0.2735,0.0032,0.0
1237,item1850,0.1618,0.1278,0.0324,0.0
1238,item1850,0.466,0.2929,0.0194,0.0032
1239,item1850,0.2476,0.123,0.0049,0.0049
1240,item1850,0.2039,0.123,0.0453,0.0
1241,item1850,0.4968,0.2913,0.0,0.0
1242,item1850,0.568,0.2929,0.0065,0.0032
1243,item1850,0.4207,0.2265,0.0032,0.0049
1244,item1850,0.3819,0.267,0.021,0.0
1245,item1850,0.2832,0.2006,0.0356,0.0194
1246,item1850,0.6586,0.5307,0.055,0.0194
1247,item1850,0.5065,0.2524,0.0227,0.0
1248,item1850,0.8932,0.6133,0.0485,0.0
1249,item1850,0.5631,0.4191,0.0243,0.0
1250,item1850,0.1731,0.1246,0.1052,0.0
1251,item1850,0.2896,0.1699,0.0032,0.0
1252,item1850,0.3382,0.1521,0.0016,0.0
1253,item1850,0.5049,0.4304,0.0696,0.0
1254,item1850,0.4353,0.1731,0.0,0.0
1255,item1850,0.1796,0.1586,0.0647,0.0065
1256,item1850,0.3204,0.2184,0.0065,0.0
1257,item1850,0.2104,0.1489,0.0,0.0081
1258,item1850,0.1375,0.0761,0.0113,0.0
1259,item1850,0.3883,0.3883,0.0,0.0
