period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1811,0.2805,0.1836,0.0133,0.0044
1214,item1811,0.433,0.2406,0.0607,0.0059
1215,item1811,0.4234,0.359,0.0259,0.0
1216,item1811,0.1806,0.1295,0.0,0.0844
1217,item1811,0.2457,0.185,0.1162,0.077
1218,item1811,0.7017,0.4841,0.0799,0.0192
1219,item1811,0.3842,0.2717,0.0466,0.0022
1220,item1811,0.5122,0.4108,0.0185,0.0111
1221,item1811,0.4937,0.3331,0.0237,0.0015
1222,item1811,0.2554,0.1784,0.034,0.0148
1223,item1811,0.2443,0.2013,0.0548,0.0207
1224,item1811,0.6232,0.5396,0.1273,0.0259
1225,item1811,0.5855,0.4678,0.0799,0.017
1226,item1811,0.3257,0.2887,0.1147,0.1828
1227,item1811,0.8542,0.3797,0.1947,0.0348
1228,item1811,0.8061,0.5026,0.0377,0.0355
1229,item1811,0.3745,0.2546,0.04,0.0126
1230,item1811,0.5722,0.3397,0.0452,0.017
1231,item1811,0.6232,0.4545,0.1429,0.0711
1232,item1811,0.9363,0.7543,0.5551,0.0
1233,item1811,1.0,0.8845,0.0163,0.2576
1234,item1811,0.3442,0.2694,0.2687,0.0067
1235,item1811,0.6891,0.5448,0.0681,0.0
1236,item1811,0.6099,0.2916,0.0133,0.0022
1237,item1811,0.3494,0.3323,0.0555,0.0133
1238,item1811,0.3161,0.2642,0.0363,0.0037
1239,item1811,0.2857,0.1658,0.0311,0.0489
1240,item1811,0.3879,0.2953,0.111,0.0
1241,item1811,0.6092,0.3679,0.0,0.0081
1242,item1811,0.7276,0.5396,0.0111,0.0059
1243,item1811,0.3797,0.2383,0.0459,0.0118
1244,item1811,0.4493,0.3375,0.0651,0.0067
1245,item1811,0.4256,0.2065,0.0281,0.0089
1246,item1811,0.7654,0.5115,0.0311,0.0
1247,item1811,0.4833,0.2272,0.017,0.0363
1248,item1811,0.6477,0.3331,0.0496,0.0015
1249,item1811,0.4145,0.2435,0.04,0.0466
1250,item1811,0.3227,0.2672,0.134,0.017
1251,item1811,0.5618,0.2998,0.0918,0.0133
1252,item1811,0.4078,0.265,0.0133,0.0022
1253,item1811,0.1799,0.0955,0.0548,0.0
1254,item1811,0.5581,0.2206,0.1244,0.0
1255,item1811,0.379,0.2724,0.0,0.0118
1256,item1811,0.3975,0.2036,0.0311,0.0015
1257,item1811,0.4767,0.2198,0.0133,0.0141
1258,item1811,0.2983,0.1429,0.0215,0.003
1259,item1811,0.7032,0.7032,0.0215,0.0244
