period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1216,0.5099,0.396,0.0149,0.0446
1214,item1216,0.1287,0.1089,0.0792,0.0347
1215,item1216,0.2871,0.2525,0.0644,0.0
1216,item1216,0.2277,0.1535,0.099,0.0743
1217,item1216,0.5693,0.5594,0.0842,0.0099
1218,item1216,0.8911,0.5891,0.0099,0.0
1219,item1216,0.3317,0.1832,0.0,0.005
1220,item1216,0.1089,0.0545,0.005,0.0
1221,item1216,0.2871,0.2525,0.0396,0.0
1222,item1216,0.1485,0.0941,0.0594,0.005
1223,item1216,0.1881,0.1386,0.0099,0.0
1224,item1216,0.5545,0.2327,0.0149,0.0
1225,item1216,0.1832,0.1287,0.0099,0.0
1226,item1216,0.104,0.0792,0.0446,0.0
1227,item1216,0.5891,0.5198,0.2327,0.0198
1228,item1216,0.5891,0.5743,0.0198,0.1485
1229,item1216,0.203,0.1485,0.1584,0.0
1230,item1216,0.4109,0.2871,0.0,0.0099
1231,item1216,0.0792,0.0545,0.6287,0.6881
1232,item1216,0.6782,0.6782,0.8267,0.0
1233,item1216,1.0,0.9455,0.0,0.0
1234,item1216,0.099,0.0941,0.0396,0.0
1235,item1216,0.0792,0.0446,0.005,0.0
1236,item1216,0.4307,0.3911,0.005,0.0099
1237,item1216,0.1139,0.1089,0.0644,0.0
1238,item1216,0.2376,0.203,0.0,0.0
1239,item1216,0.0891,0.0347,0.0,0.0
1240,item1216,0.0644,0.0396,0.0,0.0
1241,item1216,0.2129,0.1832,0.005,0.0
1242,item1216,0.1782,0.1089,0.0,0.0
1243,item1216,0.0495,0.0099,0.0,0.0
1244,item1216,0.0743,0.0396,0.0,0.0
1245,item1216,0.3515,0.0594,0.005,0.0
1246,item1216,0.8119,0.7525,0.0545,0.0
1247,item1216,0.2673,0.1238,0.0099,0.0
1248,item1216,0.2822,0.1634,0.0693,0.005
1249,item1216,0.2376,0.2178,0.0099,0.0
1250,item1216,0.0743,0.0297,0.0149,0.0
1251,item1216,0.1535,0.0446,0.0099,0.0
1252,item1216,0.0842,0.0644,0.0198,0.0
1253,item1216,0.2079,0.0941,0.0149,0.0
1254,item1216,0.2921,0.1139,0.0,0.0
1255,item1216,0.0545,0.0297,0.0,0.0
1256,item1216,0.0198,0.005,0.0099,0.0
1257,item1216,0.0644,0.0198,0.0,0.0
1258,item1216,0.099,0.0941,0.0099,0.0
1259,item1216,0.5297,0.5297,0.0,0.0
