period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item2045,1.0,0.7656,0.0,0.0
1214,item2045,0.2428,0.0625,0.0385,0.0048
1215,item2045,0.2428,0.1599,0.0373,0.0096
1216,item2045,0.1022,0.0901,0.0096,0.101
1217,item2045,0.2308,0.2019,0.101,0.0
1218,item2045,0.3293,0.2909,0.0,0.0
1219,item2045,0.2945,0.1358,0.0,0.0
1220,item2045,0.976,0.2188,0.0373,0.0
1221,item2045,0.2596,0.2091,0.0421,0.0096
1222,item2045,0.113,0.0913,0.0481,0.0
1223,item2045,0.1851,0.1346,0.0,0.345
1224,item2045,0.3149,0.1659,0.4219,0.0
1225,item2045,0.53,0.5036,0.0733,0.0
1226,item2045,0.4447,0.2644,0.0,0.0
1227,item2045,0.3353,0.0517,0.0974,0.0
1228,item2045,0.2224,0.2224,0.0108,0.0192
1229,item2045,0.0974,0.03,0.0216,0.0
1230,item2045,0.2248,0.1863,0.0048,0.0192
1231,item2045,0.1791,0.0962,0.1466,0.0
1232,item2045,0.1995,0.1995,0.0,0.0
1233,item2045,0.3125,0.2067,0.1875,0.0625
1234,item2045,0.2837,0.25,0.0625,0.0481
1235,item2045,0.2885,0.1683,0.0481,0.0
1236,item2045,0.2524,0.0721,0.0,0.0144
1237,item2045,0.2476,0.0409,0.1995,0.0096
1238,item2045,0.2091,0.2091,0.0096,0.0216
1239,item2045,0.1118,0.0829,0.0216,0.0
1240,item2045,0.2452,0.2163,0.0096,0.0192
1241,item2045,0.0577,0.0529,0.0192,0.0
1242,item2045,0.0769,0.0192,0.0385,0.0
1243,item2045,0.4399,0.3438,0.0,0.0673
1244,item2045,0.3594,0.0757,0.0673,0.024
1245,item2045,0.5433,0.1851,0.024,0.0
1246,item2045,0.3822,0.3654,0.0,0.0385
1247,item2045,0.1274,0.1274,0.2212,0.0589
1248,item2045,0.2897,0.2512,0.0685,0.0
1249,item2045,0.3618,0.131,0.0,0.0
1250,item2045,0.0685,0.0625,0.0096,0.0
1251,item2045,0.125,0.1058,0.0,0.0
1252,item2045,0.1923,0.1442,0.0096,0.0
1253,item2045,0.0216,0.0168,0.0,0.0
1254,item2045,0.3029,0.0913,0.0,0.2392
1255,item2045,0.1394,0.1298,0.2416,0.0
1256,item2045,0.2416,0.2416,0.0,0.0
1257,item2045,0.1538,0.0433,0.0,0.0072
1258,item2045,0.2488,0.2488,0.0072,0.0
1259,item2045,0.0721,0.0721,0.0,0.0
