period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1499,0.7268,0.6031,0.0113,0.009
1214,item1499,0.2846,0.242,0.0256,0.0023
1215,item1499,0.3683,0.2875,0.088,0.0071
1216,item1499,0.3724,0.2613,0.0101,0.0228
1217,item1499,0.2998,0.2303,0.0296,0.0088
1218,item1499,0.2165,0.1731,0.0312,0.0055
1219,item1499,0.1606,0.1361,0.0243,0.0008
1220,item1499,0.1365,0.0763,0.016,0.0046
1221,item1499,0.2091,0.1283,0.0243,0.0014
1222,item1499,0.4774,0.289,0.022,0.0004
1223,item1499,0.2934,0.2269,0.0533,0.0056
1224,item1499,0.7097,0.515,0.0379,0.0001
1225,item1499,0.5934,0.4644,0.0181,0.013
1226,item1499,0.2344,0.2094,0.1187,0.0349
1227,item1499,0.42,0.2889,0.0401,0.0057
1228,item1499,0.556,0.3619,0.0477,0.008
1229,item1499,0.6259,0.409,0.0411,0.0044
1230,item1499,0.7069,0.4444,0.0509,0.0134
1231,item1499,1.0,0.7498,0.0823,0.0116
1232,item1499,0.7502,0.4798,0.0946,0.0042
1233,item1499,0.7835,0.424,0.0304,0.07
1234,item1499,0.6735,0.5779,0.2876,0.0907
1235,item1499,0.9481,0.6177,0.112,0.0007
1236,item1499,0.8861,0.5338,0.0141,0.0004
1237,item1499,0.6639,0.5188,0.1109,0.0611
1238,item1499,0.4721,0.4029,0.0926,0.0156
1239,item1499,0.4222,0.2767,0.0179,0.0045
1240,item1499,0.5409,0.333,0.0119,0.0024
1241,item1499,0.5269,0.3374,0.036,0.0237
1242,item1499,0.9926,0.5236,0.0333,0.002
1243,item1499,0.8074,0.4555,0.0154,0.0017
1244,item1499,0.4286,0.3279,0.035,0.0065
1245,item1499,0.5032,0.257,0.0162,0.0294
1246,item1499,0.4179,0.3406,0.1099,0.0016
1247,item1499,0.687,0.3277,0.0222,0.0164
1248,item1499,0.5965,0.4026,0.0236,0.0001
1249,item1499,0.4528,0.2554,0.0254,0.0229
1250,item1499,0.4475,0.3696,0.0709,0.0063
1251,item1499,0.575,0.2958,0.0205,0.0032
1252,item1499,0.3255,0.1916,0.0157,0.0021
1253,item1499,0.3462,0.2143,0.0148,0.0014
1254,item1499,0.5988,0.4068,0.0166,0.0
1255,item1499,0.6077,0.4251,0.0134,0.0032
1256,item1499,0.3693,0.2933,0.009,0.002
1257,item1499,0.2979,0.1362,0.0143,0.0145
1258,item1499,0.3292,0.2172,0.0347,0.025
1259,item1499,0.2209,0.2209,0.025,0.0031
