period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item2027,0.2952,0.2627,0.0064,0.007
1214,item2027,0.0678,0.0407,0.0169,0.0038
1215,item2027,0.3264,0.124,0.0064,0.0074
1216,item2027,0.1052,0.0321,0.0093,0.4603
1217,item2027,0.2557,0.1744,0.4745,0.0003
1218,item2027,0.6479,0.5866,0.0916,0.01
1219,item2027,0.2053,0.1789,0.0345,0.0091
1220,item2027,0.1312,0.0799,0.0106,0.0183
1221,item2027,0.5324,0.4481,0.0359,0.0155
1222,item2027,0.2985,0.1318,0.068,0.0013
1223,item2027,0.6049,0.5431,0.0457,0.0017
1224,item2027,0.2117,0.1188,0.0187,0.0
1225,item2027,0.365,0.0565,0.0177,0.0108
1226,item2027,0.1527,0.0386,0.0167,0.0023
1227,item2027,0.4217,0.386,0.1375,0.0371
1228,item2027,0.2465,0.1665,0.0639,0.0957
1229,item2027,0.2966,0.2555,0.1928,0.0059
1230,item2027,0.4977,0.4435,0.0066,0.0471
1231,item2027,0.1182,0.0989,0.0546,0.1232
1232,item2027,0.2172,0.1958,0.1345,0.1149
1233,item2027,0.414,0.3419,0.1349,0.0168
1234,item2027,0.2747,0.2343,0.1047,0.0265
1235,item2027,0.3129,0.1988,0.0765,0.0102
1236,item2027,0.4459,0.186,0.0273,0.0248
1237,item2027,0.2414,0.077,0.0362,0.0397
1238,item2027,0.0984,0.0739,0.1177,0.0076
1239,item2027,0.559,0.1774,0.017,0.0095
1240,item2027,0.1994,0.1672,0.0246,0.0231
1241,item2027,0.1648,0.0939,0.0409,0.0079
1242,item2027,0.3628,0.2116,0.0212,0.0068
1243,item2027,0.4128,0.1692,0.0485,0.0231
1244,item2027,0.1696,0.1092,0.0307,0.0341
1245,item2027,0.3903,0.2011,0.071,0.0939
1246,item2027,0.2638,0.1912,0.1247,0.1359
1247,item2027,0.389,0.2784,0.205,0.0079
1248,item2027,1.0,0.6605,0.0193,0.0093
1249,item2027,0.1205,0.069,0.0358,0.0199
1250,item2027,0.1027,0.0926,0.1069,0.0132
1251,item2027,0.2262,0.1656,0.0532,0.0341
1252,item2027,0.1919,0.1014,0.0556,0.0151
1253,item2027,0.3502,0.1967,0.0728,0.0114
1254,item2027,0.885,0.5976,0.0568,0.0372
1255,item2027,0.1952,0.1187,0.0618,0.0165
1256,item2027,0.2454,0.1451,0.0293,0.0072
1257,item2027,0.6006,0.2882,0.0952,0.1404
1258,item2027,0.3157,0.248,0.1795,0.2549
1259,item2027,0.3525,0.3525,0.3659,0.2202
