period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1719,0.0723,0.0041,0.0,0.0
1214,item1719,0.126,0.0806,0.0,0.0
1215,item1719,0.1343,0.0971,0.0041,0.0
1216,item1719,0.2417,0.2025,0.0083,0.0186
1217,item1719,0.1198,0.0455,0.0186,0.0
1218,item1719,0.0992,0.0517,0.0,0.0145
1219,item1719,0.0124,0.0103,0.0145,0.0
1220,item1719,0.1467,0.0702,0.0,0.0
1221,item1719,0.2645,0.0269,0.0,0.0
1222,item1719,0.6033,0.3285,0.0,0.0207
1223,item1719,0.5785,0.5186,0.0227,0.0
1224,item1719,0.3967,0.2769,0.0,0.0
1225,item1719,0.2851,0.093,0.0186,0.0207
1226,item1719,0.1756,0.0434,0.0207,0.2397
1227,item1719,0.1736,0.0289,0.2397,0.0
1228,item1719,0.2645,0.2397,0.0,0.0207
1229,item1719,0.6694,0.126,0.0207,0.0
1230,item1719,0.2665,0.2025,0.0,0.0
1231,item1719,0.2521,0.1942,0.0,0.0
1232,item1719,0.0806,0.0269,0.0,0.0
1233,item1719,0.4029,0.0372,0.0,0.0
1234,item1719,0.1033,0.0682,0.0,0.0
1235,item1719,0.6736,0.0847,0.0,0.0
1236,item1719,0.407,0.2872,0.0,0.0
1237,item1719,0.0124,0.0062,0.0,0.0
1238,item1719,0.0847,0.0021,0.0041,0.0062
1239,item1719,0.4979,0.2521,0.0062,0.0
1240,item1719,0.2107,0.1818,0.0,0.0103
1241,item1719,0.2996,0.2252,0.0103,0.0723
1242,item1719,0.1467,0.0764,0.0723,0.0
1243,item1719,0.1426,0.093,0.0021,0.0041
1244,item1719,0.6219,0.1488,0.0351,0.0083
1245,item1719,0.2934,0.0888,0.0083,0.0
1246,item1719,0.0971,0.0455,0.0806,0.0
1247,item1719,0.4835,0.126,0.0,0.0
1248,item1719,0.4277,0.2376,0.0,0.0
1249,item1719,0.1736,0.0496,0.0124,0.0021
1250,item1719,0.0702,0.0248,0.0021,0.0041
1251,item1719,0.2107,0.0289,0.0165,0.0
1252,item1719,0.0558,0.0289,0.0,0.0021
1253,item1719,0.1839,0.064,0.0021,0.0021
1254,item1719,0.4545,0.0806,0.0021,0.0021
1255,item1719,0.0909,0.0207,0.0145,0.0062
1256,item1719,0.2583,0.1653,0.0186,0.0289
1257,item1719,0.1632,0.0868,0.0289,0.0
1258,item1719,0.2252,0.1384,0.0,0.1033
1259,item1719,1.0,1.0,0.1033,0.0
