period_id, item, qty, order_qty1, order_qty2, order_qty3
1242,item1379,0.0,0.0,0.0,0.0
1243,item1379,0.0,0.0,0.0,0.0
1244,item1379,0.0379,0.028,0.0,0.0
1245,item1379,0.0298,0.0123,0.0,0.0
1246,item1379,0.0525,0.014,0.0,0.0
1247,item1379,0.042,0.0105,0.0,0.0
1248,item1379,0.5009,0.2102,0.007,0.0
1249,item1379,0.6959,0.4145,0.0467,0.0
1250,item1379,0.4647,0.3853,0.0,0.0
1251,item1379,0.1529,0.1203,0.0,0.0
1252,item1379,0.1623,0.1273,0.0,0.0
1253,item1379,0.1804,0.0479,0.0041,0.0
1254,item1379,1.0,0.2936,0.0035,0.0
1255,item1379,0.3398,0.1448,0.0023,0.0
1256,item1379,0.8015,0.1938,0.0035,0.0
1257,item1379,0.5312,0.2907,0.2966,0.0
1258,item1379,0.7577,0.5628,0.0,0.251
1259,item1379,0.1833,0.1833,0.3211,0.0093
