period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1480,0.3302,0.2332,0.0,0.0063
1214,item1480,0.2598,0.2441,0.0736,0.0
1215,item1480,0.1628,0.144,0.0423,0.0172
1216,item1480,0.266,0.1393,0.0172,0.2379
1217,item1480,0.2754,0.1221,0.2535,0.0595
1218,item1480,0.3631,0.3302,0.0595,0.0094
1219,item1480,0.1424,0.1095,0.0094,0.0
1220,item1480,0.2316,0.2175,0.0751,0.0689
1221,item1480,0.3318,0.2504,0.0689,0.0689
1222,item1480,0.5587,0.471,0.0876,0.0
1223,item1480,0.2833,0.1518,0.0063,0.1049
1224,item1480,0.6964,0.6056,0.1127,0.0391
1225,item1480,0.4476,0.3333,0.0501,0.0548
1226,item1480,0.2723,0.2332,0.0704,0.0
1227,item1480,0.3208,0.2254,0.0063,0.1408
1228,item1480,0.3959,0.2942,0.1941,0.0063
1229,item1480,0.5853,0.3897,0.0297,0.0344
1230,item1480,0.5274,0.3865,0.0391,0.0
1231,item1480,0.4069,0.3177,0.0219,0.0
1232,item1480,0.2911,0.1518,0.2222,0.0
1233,item1480,0.6072,0.41,0.0094,0.0172
1234,item1480,0.2926,0.2081,0.0454,0.0219
1235,item1480,0.5665,0.4335,0.0657,0.0
1236,item1480,0.5383,0.3239,0.0031,0.0125
1237,item1480,0.2394,0.2081,0.025,0.0031
1238,item1480,0.2629,0.2332,0.0563,0.0
1239,item1480,0.3302,0.1299,0.0063,0.0156
1240,item1480,0.1534,0.108,0.025,0.0
1241,item1480,0.2567,0.1487,0.0438,0.0
1242,item1480,0.7606,0.3083,0.0,0.0063
1243,item1480,0.5086,0.3552,0.011,0.0047
1244,item1480,0.2191,0.1768,0.0047,0.0
1245,item1480,0.277,0.1987,0.0,0.0063
1246,item1480,0.4351,0.2723,0.061,0.0016
1247,item1480,0.3787,0.1424,0.0078,0.0156
1248,item1480,0.8216,0.4883,0.0172,0.0
1249,item1480,0.374,0.2363,0.0031,0.0
1250,item1480,0.2504,0.1721,0.0203,0.0
1251,item1480,0.4867,0.1534,0.0063,0.0
1252,item1480,0.2879,0.0845,0.0094,0.0188
1253,item1480,0.3396,0.1236,0.0188,0.0
1254,item1480,1.0,0.7261,0.0,0.0
1255,item1480,0.3537,0.2692,0.025,0.0219
1256,item1480,0.3709,0.266,0.0751,0.0
1257,item1480,0.2175,0.1487,0.0016,0.025
1258,item1480,0.2473,0.1393,0.0407,0.0
1259,item1480,0.2645,0.2645,0.0,0.0
