period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1699,0.1049,0.0,0.0,0.0
1214,item1699,0.037,0.037,0.1667,0.0494
1215,item1699,0.4383,0.4383,0.142,0.0
1216,item1699,0.142,0.142,0.1358,0.0
1217,item1699,0.1358,0.1358,0.0123,0.0
1218,item1699,0.4691,0.3765,0.0864,0.0
1219,item1699,0.2778,0.2778,0.0,0.0
1220,item1699,0.3025,0.0556,0.0123,0.0
1221,item1699,0.3086,0.2593,0.0,0.0
1222,item1699,0.7901,0.7901,0.0,0.0
1223,item1699,0.0,0.0,0.0617,0.0
1224,item1699,0.0617,0.0617,0.0,0.0
1225,item1699,0.1296,0.0062,0.0,0.0
1226,item1699,0.2222,0.216,0.0,0.0
1227,item1699,0.0062,0.0062,0.0,0.0
1228,item1699,0.2284,0.1975,0.0926,0.0
1229,item1699,0.142,0.142,0.037,0.0
1230,item1699,0.0494,0.0494,0.0,0.0
1231,item1699,0.0494,0.0432,0.0,0.0
1232,item1699,0.1914,0.0247,0.0,0.0
1233,item1699,0.4877,0.4877,0.0062,0.1667
1234,item1699,0.0062,0.0062,0.2901,0.0679
1235,item1699,0.4691,0.4568,0.0802,0.0
1236,item1699,0.2099,0.2099,0.0185,0.0247
1237,item1699,0.4753,0.4753,0.037,0.0
1238,item1699,0.0432,0.0432,0.0,0.0617
1239,item1699,0.5494,0.1914,0.0926,0.0
1240,item1699,0.3951,0.3827,0.0679,0.0309
1241,item1699,0.284,0.2778,0.6852,0.5062
1242,item1699,1.0,0.9568,0.5062,0.0741
1243,item1699,0.5309,0.5062,0.0741,0.0247
1244,item1699,0.3519,0.3519,0.0741,0.0
1245,item1699,0.4691,0.0741,0.0,0.0988
1246,item1699,0.1235,0.1235,0.1235,0.0
1247,item1699,0.2037,0.1235,0.0988,0.0741
1248,item1699,0.1235,0.1235,0.0988,0.0247
1249,item1699,0.179,0.179,0.0247,0.0
1250,item1699,0.2593,0.1481,0.0,0.0062
1251,item1699,0.5432,0.5432,0.0062,0.0
1252,item1699,0.3086,0.0432,0.0309,0.1728
1253,item1699,0.6543,0.0309,0.1975,0.0062
1254,item1699,0.4877,0.4877,0.0185,0.0
1255,item1699,0.2593,0.0494,0.0,0.0
1256,item1699,0.3765,0.3025,0.0494,0.0185
1257,item1699,0.1728,0.1667,0.0494,0.0
1258,item1699,0.3272,0.1111,0.0556,0.0864
1259,item1699,0.2716,0.2716,0.0864,0.0
