Past M0,MSE,ACC
0,0.0660940557718277,0.5252983162810405
1,0.044231537729501724,0.45092961734310005
2,0.035470716655254364,0.35969438316493835
3,0.06335055828094482,0.5629887470972562
4,0.059888213872909546,0.5400701510299616
5,0.05831130966544151,0.5379215663343372
6,0.05817114934325218,0.5700973910960205
7,0.05743538588285446,0.538432337117222
8,0.057347796857357025,0.5357331818432476
9,0.05493086576461792,0.5374022207878721
10,0.05584209784865379,0.571172482511862
11,0.053145118057727814,0.5247585189771093
12,0.05166662484407425,0.5221323866085918
13,0.05050140619277954,0.5702389141761443
14,0.04951576888561249,0.5045838964814622
15,0.04976733773946762,0.5681068191935964
16,0.047669291496276855,0.4804055425998228
17,0.04694482684135437,0.49028405616106563
18,0.048493124544620514,0.4622497645858394
19,0.04644036293029785,0.4306817387429709
20,0.04321753606200218,0.477846975315215
21,0.04389108717441559,0.4588528150242186
22,0.04281036555767059,0.463930941758357
23,0.04075068235397339,0.5201859814416474
24,0.038087788969278336,0.48455892144418816
25,0.03807717189192772,0.38050918454789034
26,0.03711763396859169,0.3487174249531367
27,0.035585977137088776,0.503425720978593
28,0.033829376101493835,0.3731199823209089
29,0.034435711801052094,0.47999737708852847
30,0.033500898629426956,0.0844327755721838
