Past M0,MSE,ACC
0,0.051475126296281815,0.5763577736757496
1,0.04959583654999733,0.5845572867850982
2,0.046983323991298676,0.583445168849307
3,0.04685397446155548,0.5843575645023044
4,0.043758146464824677,0.5874236719589859
5,0.04406362771987915,0.5906941307201677
6,0.045562468469142914,0.6106983144020601
7,0.04648252949118614,0.6103576464632962
8,0.04356163740158081,0.6127373118878311
9,0.043450865894556046,0.5791171580588488
10,0.04281960055232048,0.5758073646399983
11,0.04461639001965523,0.575008870806682
12,0.04141208156943321,0.5663046277450734
13,0.04008787125349045,0.5650752315282196
14,0.038193490356206894,0.5622778627009012
15,0.03729594126343727,0.6196918029500513
16,0.03732752054929733,0.6230478202592332
17,0.035313043743371964,0.6162220830709836
18,0.03585044667124748,0.5317970208663119
19,0.03581119328737259,0.5197039397595997
20,0.03578880801796913,0.6210062010935246
21,0.03267158940434456,0.6214791349715787
22,0.03277413547039032,0.627620625117903
23,0.034376196563243866,0.4914393634829677
24,0.0317673422396183,0.6202129317941765
25,0.030855709686875343,0.46770662916104544
26,0.02873758226633072,0.6226516853061462
27,0.029953841120004654,0.44403159492698624
28,0.0279916413128376,0.6152507384362895
29,0.026549136266112328,0.6095159509758334
30,0.029524942860007286,0.40520602423202706
