Past M0,MSE,ACC
0,0.05402820184826851,0.5648874248092898
1,0.05006590113043785,0.5780307879029427
2,0.051149144768714905,0.5795607514419144
3,0.04735465347766876,0.5804740108624105
4,0.05071078613400459,0.5751915658627342
5,0.04712693765759468,0.6192333445678961
6,0.0478479228913784,0.5818720350441525
7,0.04612962156534195,0.5791978340189946
8,0.04653099924325943,0.6147397182813394
9,0.04417090490460396,0.6128660020732148
10,0.04532516375184059,0.6174372954407837
11,0.04424731060862541,0.6231412447085094
12,0.043372929096221924,0.5646426367301114
13,0.040854424238204956,0.5607049414515857
14,0.03803211450576782,0.6235404622686215
15,0.039080142974853516,0.5443948010426359
16,0.035867784172296524,0.6209200640302466
17,0.03696007654070854,0.6107711944269665
18,0.037049438804388046,0.5285324971155826
19,0.03463246673345566,0.6262517741265189
20,0.03398636728525162,0.6127877565475138
21,0.03629770874977112,0.6060468234858322
22,0.03147995099425316,0.4956704078553065
23,0.03381093591451645,0.4749651466859795
24,0.0339631587266922,0.4575905948033146
25,0.03108212538063526,0.45334469631782903
26,0.02968513034284115,0.585375468149954
27,0.027616996318101883,0.37558051785654967
28,0.02720964141190052,0.4002135830059137
29,0.02551162801682949,0.526723137135555
30,0.024867206811904907,0.405938891900506
